Date_Time,ID,TF Bldg,SER.ELEC.DH1A.INST (kW),SER.ELEC.DH2A.INST (kW),SER.ELEC.DH3A.INST (kW),SER.ELEC.DH4A.INST (kW),SER.ELEC.DH5A.INST (kW),SER.ELEC.DH6A.INST (kW),SER.ELEC.DH7A.INST (kW),SER.ELEC.DH8A.INST (kW)
2019-01-01 01:00:00,SERC-Floor Electric Device 1,SERC,29.144000000000002,9.637,20.125,18.975,78.075,30.436999999999998,,21.105999999999998
2019-01-01 02:00:00,SERC-Floor Electric Device 1,SERC,28.888,9.45,19.769000000000002,19.906,55.85,34.969,,21.237
2019-01-01 03:00:00,SERC-Floor Electric Device 1,SERC,27.281,9.737,19.605999999999998,19.469,43.843999999999994,31.363000000000003,,20.862
2019-01-01 04:00:00,SERC-Floor Electric Device 1,SERC,27.886999999999997,9.594,19.519000000000002,19.094,57.688,30.369,,21.581
2019-01-01 05:00:00,SERC-Floor Electric Device 1,SERC,27.669,13.525,22.038,19.544,49.718999999999994,29.344,,20.844
2019-01-01 06:00:00,SERC-Floor Electric Device 1,SERC,28.45,11.269,20.594,19.180999999999997,72.9,27.956,,20.6
2019-01-01 07:00:00,SERC-Floor Electric Device 1,SERC,27.463,9.613,19.313,19.188,46.813,29.788,,18.913
2019-01-01 08:00:00,SERC-Floor Electric Device 1,SERC,26.313000000000002,9.587,20.069000000000003,19.112000000000002,39.269,28.975,,18.456
2019-01-01 09:00:00,SERC-Floor Electric Device 1,SERC,26.7,10.312999999999999,21.131,18.994,48.25,35.281,,17.581
2019-01-01 10:00:00,SERC-Floor Electric Device 1,SERC,29.044,9.725,21.925,19.238,55.144,67.156,,17.819000000000003
2019-01-01 11:00:00,SERC-Floor Electric Device 1,SERC,27.886999999999997,10.163,21.688000000000002,19.294,56.943999999999996,72.763,,18.805999999999997
2019-01-01 12:00:00,SERC-Floor Electric Device 1,SERC,28.680999999999997,9.712,25.563000000000002,19.375,45.813,69.563,,20.444000000000003
2019-01-01 13:00:00,SERC-Floor Electric Device 1,SERC,29.688000000000002,9.544,22.169,19.0,84.919,38.306,,22.644000000000002
2019-01-01 14:00:00,SERC-Floor Electric Device 1,SERC,28.563000000000002,9.531,23.511999999999997,18.406,59.813,33.644,,21.881
2019-01-01 15:00:00,SERC-Floor Electric Device 1,SERC,28.519000000000002,9.263,23.125,19.180999999999997,42.631,36.094,,21.775
2019-01-01 16:00:00,SERC-Floor Electric Device 1,SERC,27.044,10.1,22.487,19.625,44.119,31.456,,20.775
2019-01-01 17:00:00,SERC-Floor Electric Device 1,SERC,29.275,9.3,22.125,19.425,45.181000000000004,39.219,,21.031
2019-01-01 18:00:00,SERC-Floor Electric Device 1,SERC,27.781,9.5,23.031,19.112000000000002,56.875,32.306,,20.338
2019-01-01 19:00:00,SERC-Floor Electric Device 1,SERC,28.719,9.975,21.088,18.813,53.05,33.556,,20.763
2019-01-01 20:00:00,SERC-Floor Electric Device 1,SERC,28.813000000000002,10.294,23.519000000000002,18.769000000000002,64.956,34.144,,20.288
2019-01-01 21:00:00,SERC-Floor Electric Device 1,SERC,26.925,9.937999999999999,22.25,18.456,43.843999999999994,34.681,,21.763
2019-01-01 22:00:00,SERC-Floor Electric Device 1,SERC,27.344,9.544,21.055999999999997,18.663,44.381,33.431,,20.756
2019-01-01 23:00:00,SERC-Floor Electric Device 1,SERC,26.638,9.519,21.925,18.994,52.15,38.256,,21.094
2019-01-02 00:00:00,SERC-Floor Electric Device 1,SERC,26.894000000000002,10.075,21.325,19.338,61.056000000000004,33.762,,20.95
2019-01-02 01:00:00,SERC-Floor Electric Device 1,SERC,28.25,9.462,21.456,19.65,49.631,28.511999999999997,,22.131
2019-01-02 02:00:00,SERC-Floor Electric Device 1,SERC,26.963,9.619,21.444000000000003,18.730999999999998,55.994,29.194000000000003,,21.325
2019-01-02 03:00:00,SERC-Floor Electric Device 1,SERC,28.488000000000003,9.663,20.825,19.180999999999997,47.106,34.238,,21.144000000000002
2019-01-02 04:00:00,SERC-Floor Electric Device 1,SERC,28.369,9.769,21.105999999999998,19.188,43.506,66.51899999999999,,21.844
2019-01-02 05:00:00,SERC-Floor Electric Device 1,SERC,27.031,13.038,24.969,19.1,43.244,61.025,,21.563000000000002
2019-01-02 06:00:00,SERC-Floor Electric Device 1,SERC,28.430999999999997,10.763,21.156,19.594,55.631,67.969,,21.444000000000003
2019-01-02 07:00:00,SERC-Floor Electric Device 1,SERC,28.730999999999998,10.487,20.938000000000002,20.169,51.468999999999994,34.205999999999996,,22.386999999999997
