Date_Time,ID,TF Bldg,SER.ELEC.SWG1.INST (kW),SER.ELEC.SWG2.INST (kW),SER.ELEC.DHBA.INST (kW)
2019-01-01 01:00:00,SERC-Main Electric Device 3,SERC,165.0,556.375,0.813
2019-01-01 02:00:00,SERC-Main Electric Device 3,SERC,163.0,541.125,1.406
2019-01-01 03:00:00,SERC-Main Electric Device 3,SERC,151.5,542.5,0.531
2019-01-01 04:00:00,SERC-Main Electric Device 3,SERC,159.125,553.0,1.156
2019-01-01 05:00:01,SERC-Main Electric Device 3,SERC,166.125,530.125,0.0
2019-01-01 06:00:00,SERC-Main Electric Device 3,SERC,177.0,551.125,0.531
2019-01-01 07:00:00,SERC-Main Electric Device 3,SERC,156.25,497.0,1.4380000000000002
2019-01-01 08:00:00,SERC-Main Electric Device 3,SERC,164.0,516.5,0.0
2019-01-01 09:00:00,SERC-Main Electric Device 3,SERC,154.875,539.0,0.0
2019-01-01 10:00:00,SERC-Main Electric Device 3,SERC,150.0,556.375,1.469
2019-01-01 11:00:00,SERC-Main Electric Device 3,SERC,176.5,563.875,0.594
2019-01-01 12:00:00,SERC-Main Electric Device 3,SERC,157.75,552.75,0.0
2019-01-01 13:00:00,SERC-Main Electric Device 3,SERC,145.75,573.125,0.344
2019-01-01 14:00:00,SERC-Main Electric Device 3,SERC,181.375,537.75,0.0
2019-01-01 15:00:00,SERC-Main Electric Device 3,SERC,153.0,544.875,0.281
2019-01-01 16:00:01,SERC-Main Electric Device 3,SERC,152.125,537.25,1.125
2019-01-01 17:00:00,SERC-Main Electric Device 3,SERC,165.5,538.25,0.0
2019-01-01 18:00:00,SERC-Main Electric Device 3,SERC,161.5,542.0,0.0
2019-01-01 19:00:00,SERC-Main Electric Device 3,SERC,161.0,539.75,0.875
2019-01-01 20:00:00,SERC-Main Electric Device 3,SERC,153.125,544.375,0.938
2019-01-01 21:00:00,SERC-Main Electric Device 3,SERC,156.625,525.125,0.625
