Date_Time,ID,TF Bldg,SERC.CHW.TOTAL (kBtu),SERC.CHW.TOTAL Rate (kBtu/hr),SERC.STM.TOTAL (Lbs),SERC.STM.TOTAL Rate (Lb/hr),SER.HW.TOTAL (kBtu),SER.HW.TOTAL Rate (kBtu/hr),SER.PCHW.TOTAL (kBtu),SER.PCHW.TOTAL Rate (kBtu/hr)
2019-01-01 01:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144905610,2830,143758200,3500,73510600,0,105,0
2019-01-01 02:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144908010,2400,143761600,3400,73510600,0,105,0
2019-01-01 03:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144910700,2690,143764700,3100,73510600,0,105,0
2019-01-01 04:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144913860,3160,143767700,3000,73510600,0,105,0
2019-01-01 05:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144917110,3250,143770800,3100,73510600,0,105,0
2019-01-01 06:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144920260,3150,143773800,3000,73510600,0,105,0
2019-01-01 07:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144923430,3170,143777000,3200,73510600,0,105,0
2019-01-01 08:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144926590,3160,143780300,3300,73510600,0,105,0
2019-01-01 09:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144929660,3070,143783600,3300,73510600,0,105,0
2019-01-01 10:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144932300,2640,143786900,3300,73510600,0,105,0
2019-01-01 11:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144935010,2710,143790600,3700,73510600,0,105,0
2019-01-01 12:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144937740,2730,143794800,4200,73510600,0,105,0
2019-01-01 13:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144940590,2850,143798800,4000,73510600,0,105,0
2019-01-01 14:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144943380,2790,143802900,4100,73510600,0,105,0
2019-01-01 15:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144946050,2670,143807400,4500,73510600,0,105,0
2019-01-01 16:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144948580,2530,143812300,4900,73510600,0,105,0
2019-01-01 17:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144951150,2570,143817300,5000,73510600,0,105,0
2019-01-01 18:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144953820,2670,143822200,4900,73510600,0,105,0
2019-01-01 19:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144956360,2540,143827200,5000,73510600,0,105,0
2019-01-01 20:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144958890,2530,143832400,5200,73510600,0,105,0
2019-01-01 21:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144961170,2280,143837500,5100,73510600,0,105,0
2019-01-01 22:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144963370,2200,143842500,5000,73510600,0,105,0
2019-01-01 23:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144965630,2260,143847700,5200,73510600,0,105,0
2019-01-02 00:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144967760,2130,143852900,5200,73510600,0,105,0
2019-01-02 01:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144969990,2230,143858200,5300,73510600,0,105,0
2019-01-02 02:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144972080,2090,143863500,5300,73510600,0,105,0
2019-01-02 03:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144974230,2150,143869000,5500,73510600,0,105,0
2019-01-02 04:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144976280,2050,143874500,5500,73510600,0,105,0
2019-01-02 05:00:02,SERC-Stm and CHW Bldg Device 4,SERC,144978410,2129,143880200,5698,73510600,0,105,0
2019-01-02 06:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144980440,2031,143885500,5301,73510600,0,105,0
2019-01-02 07:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144982590,2150,143891100,5600,73510600,0,105,0
2019-01-02 08:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144984520,1930,143896700,5600,73510600,0,105,0
2019-01-02 09:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144986660,2140,143902400,5700,73510600,0,105,0
2019-01-02 10:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144988840,2180,143907900,5500,73510600,0,105,0
2019-01-02 11:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144991030,2190,143913600,5700,73510600,0,105,0
2019-01-02 12:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144992990,1960,143919200,5600,73510600,0,105,0
2019-01-02 13:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144995500,2510,143924800,5600,73510600,0,105,0
2019-01-02 14:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144997780,2280,143930200,5400,73510600,0,105,0
2019-01-02 15:00:01,SERC-Stm and CHW Bldg Device 4,SERC,144999990,2210,143935800,5600,73510600,0,105,0
2019-01-02 16:00:01,SERC-Stm and CHW Bldg Device 4,SERC,145002200,2210,143941200,5400,73510600,0,105,0
2019-01-02 17:00:01,SERC-Stm and CHW Bldg Device 4,SERC,145004380,2180,143946700,5500,73510600,0,105,0
2019-01-02 18:00:01,SERC-Stm and CHW Bldg Device 4,SERC,145006590,2210,143952300,5600,73510600,0,105,0
2019-01-02 19:00:01,SERC-Stm and CHW Bldg Device 4,SERC,145008730,2140,143957800,5500,73510600,0,105,0
2019-01-02 20:00:01,SERC-Stm and CHW Bldg Device 4,SERC,145010900,2170,143963400,5600,73510600,0,105,0
2019-01-02 21:00:02,SERC-Stm and CHW Bldg Device 4,SERC,145013010,2109,143968800,5399,73510600,0,105,0
